22418350,05/08/2018,107412972577                            ,454687,056320,00  ,202.00          ,V  ,P  
22418350,05/08/2018,107412977386                            ,454688,071281,00  ,458.00          ,V  ,P  
22302636,05/08/2018,107412751025                            ,017898,044835,00  ,6544.58         ,S  ,P  
22302636,05/08/2018,CCAFH2KVQ270                            ,567168,422810,00  ,690.00          ,S  ,P  
22418350,05/08/2018,107412987848                            ,454690,015207,00  ,250.00          ,V  ,P  
22302636,05/08/2018,107412560339                            ,017553,490508,00  ,698.00          ,S  ,P  
22418350,05/08/2018,107412600924                            ,454444,628754,00  ,110.00          ,S  ,P  
22418350,05/08/2018,107412995329                            ,454692,040129,00  ,25.00           ,V  ,P  
22302636,05/08/2018,107412752702                            ,017903,103709,00  ,3086.00         ,S  ,P  
22418350,05/08/2018,107412997943                            ,454694,000033,00  ,100.00          ,V  ,P  
22302636,05/08/2018,107412753700                            ,017906,448460,00  ,300.00          ,S  ,P  
22302636,05/08/2018,107412754458                            ,017907,045964,00  ,499.00          ,S  ,P  
22418350,05/08/2018,107412997877                            ,454693,000413,00  ,99.00           ,V  ,P  
22418350,05/08/2018,107412998244                            ,454695,807722,00  ,398.00          ,V  ,P  
22302636,05/08/2018,107412755172                            ,017908,054677,00  ,100.00          ,S  ,P  
22418350,05/08/2018,107412998300                            ,454696,051473,00  ,222.00          ,V  ,P  
22302636,05/08/2018,CCAFH2KVQ271                            ,567169,055029,00  ,435.00          ,S  ,P  
22302636,05/08/2018,107412757825                            ,017912,511210,00  ,25494.10        ,S  ,P  
22418350,05/08/2018,107412999054                            ,454697,005537,00  ,52.00           ,V  ,P  
22418350,05/08/2018,107413005103                            ,454700,357038,00  ,500.00          ,V  ,P  
22302636,05/08/2018,107412759250                            ,017915,047616,00  ,320.00          ,S  ,P  
22418350,05/08/2018,107413007406                            ,454701,R50150,00  ,120.00          ,V  ,P  
22302636,05/08/2018,107412759642                            ,017917,104213,00  ,2152.50         ,S  ,P  
22418350,05/08/2018,107413008037                            ,454702,079668,00  ,187.00          ,V  ,P  
22302636,05/08/2018,CCAFH2KVQ272                            ,567170,108192,00  ,502.88          ,S  ,P  
22418350,05/08/2018,107413012465                            ,454703,625423,00  ,260.00          ,V  ,P  
22302636,05/08/2018,107412759713                            ,017920,104277,00  ,31466.00        ,S  ,P  
22418350,05/08/2018,107412606210                            ,454446,004250,00  ,500.00          ,S  ,P  
